source,target,tipo,tiempo
1,2,A,2
2,3,A,2
3,4,A,2
4,5,A,2
5,6,A,2
6,7,A,2
7,8,A,2
8,9,A,2
9,10,A,2
10,11,A,2
11,12,A,2
12,13,A,2
13,14,A,2
14,15,A,2
15,16,A,2
16,17,A,2
17,18,A,2
19,20,B,2
20,21,B,2
21,22,B,2
22,23,B,2
23,24,B,2
24,25,B,2
25,26,B,2
26,27,B,2
27,28,B,2
28,29,B,2
29,30,B,2
30,31,B,2
31,32,B,2
32,33,B,2
33,34,B,2
35,36,C,2
36,37,C,2
37,38,C,2
38,39,C,2
39,40,C,2
40,41,C,2
41,42,C,2
42,43,C,2
44,45,D,2
45,46,D,2
46,47,D,2
47,48,D,2
48,49,D,2
49,50,D,2
50,51,D,2
51,52,D,2
52,53,D,2
53,54,D,2
54,55,D,2
55,56,D,2
56,57,D,2
57,58,D,2
58,59,D,2
60,61,E,2
61,62,E,2
62,63,E,2
63,64,E,2
64,65,E,2
65,66,E,2
66,67,E,2
67,68,E,2
68,69,E,2
69,70,E,2
70,71,E,2
71,72,E,2
72,73,E,2
73,74,E,2
75,76,E,2
76,77,E,2
77,60,E,2
78,79,H,2
79,80,H,2
80,81,H,2
81,82,H,2
82,83,H,2
83,84,H,2
84,85,H,2
85,86,H,2
86,87,H,2
87,88,H,2
88,89,H,2
2,44,transbordo,5
2,60,transbordo,5
44,60,transbordo,5
4,39,transbordo,5
9,83,transbordo,6
21,38,transbordo,8
21,45,transbordo,8
38,45,transbordo,5
25,82,transbordo,5
41,62,transbordo,5
49,80,transbordo,7
66,85,transbordo,5
19,77,transbordo,6
35,75,transbordo,8
