"FECHA;DESDE;HASTA;LINEA;MOLINETE;ESTACION;pax_pagos;pax_pases_pagos;pax_franq;pax_TOTAL"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_Boedo_Turn02;Boedo;1;0;0;1"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_Varela_Turn01;Varela;4;0;0;4"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_RetiroE_N_Turn03;Retiro E;0;0;2;2"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_Virreyes_E_Turn02;Pza. de los Virreyes;5;0;0;5"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_SanJose_Turn02;San Jose;2;0;0;2"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_Bolivar_N_Turn02;Bolivar;0;0;1;1"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_Moreno_Turn02;Jose Maria Moreno;2;0;1;3"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_RetiroE_S_Turn02;Retiro E;1;0;0;1"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_Pichin_Turn02;Pichincha;0;0;1;1"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_EMitre_Turn02;Emilio Mitre;2;0;0;2"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_CCentral_S_Turn01;Correo Central;1;0;0;1"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_Indepen_Turn01;Independencia.H;1;0;1;2"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_Bolivar_S_Turn01;Bolivar;1;0;0;1"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_Boedo_Turn01;Boedo;2;0;1;3"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_ERios_Turn01;Entre Rios;2;0;0;2"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_LaPlata_Turn02;Avenida La Plata;0;0;2;2"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_RetiroE_S_Turn05;Retiro E;1;0;0;1"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_Belgrano_Turn02;General Belgrano;1;0;1;2"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_CCentral_N_Turn03;Correo Central;0;0;1;1"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_SanJose_Turn01;San Jose;2;0;1;3"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_Bolivar_N_Turn01;Bolivar;1;0;1;2"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_RetiroE_S_Turn03;Retiro E;2;0;0;2"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_Virreyes_Turn04;Pza. de los Virreyes;0;0;2;2"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_Urquiza_Turn02;Urquiza;6;0;1;7"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_Medalla_Turn01;Medalla Milagrosa;1;0;1;2"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_RetiroE_N_Turn05;Retiro E;1;0;0;1"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_Virreyes_E_Turn04;Pza. de los Virreyes;14;0;0;14"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_EMitre_Turn01;Emilio Mitre;1;0;0;1"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_Indepen_Turn03;Independencia.H;1;0;0;1"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_RetiroE_S_Turn04;Retiro E;1;0;0;1"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_Virreyes_E_Turn03;Pza. de los Virreyes;4;0;0;4"
"1/2/2024;05:15:00;05:30:00;LineaE;LineaE_ERios_Turn02;Entre Rios;1;0;0;1"
"1/2/2024;05:15:00;05:30:00;LineaH;LineaH_Hospitales_Sur_Turn01;Hospitales;3;0;1;4"
"1/2/2024;05:15:00;05:30:00;LineaH;LineaH_Inclan_Norte_Turn02;Inclan;3;0;2;5"
"1/2/2024;05:15:00;05:30:00;LineaH;LineaH_Patricios_Turn03;Patricios;3;0;0;3"
"1/2/2024;05:15:00;05:30:00;LineaH;LineaH_Hospitales_Norte_Turn03;Hospitales;3;0;0;3"
