id,estacion,linea,grado,betweenness,closeness,autovector,excentricidad,r_grado,r_grado_periferia,r_betweenness,r_betweenness_periferia,r_closeness,r_closeness_periferia,r_autovector,r_autovector_periferia,r_excentricidad,r_excentricidad_periferia,score_central,score_periferico
82,Corrientes,H,3.0,0.3195750609543714,0.059219380888290714,0.06839834411524028,31,6.0,71.0,2.0,88.0,2.0,88.0,35.0,55.0,2.0,87.0,9.4,77.8
45,9 de Julio,D,4.0,0.1513409961685824,0.05385556915544676,0.24014623385789294,39,1.0,85.0,15.0,75.0,8.0,82.0,4.0,86.0,20.0,66.0,9.6,78.8
83,Once,H,3.0,0.33472657610588646,0.05953991880920163,0.06740512204835046,33,6.0,71.0,1.0,89.0,1.0,89.0,37.0,53.0,4.0,85.0,9.8,77.4
60,Bolívar,E,4.0,0.12774294670846395,0.05330102967898243,0.27780301906001065,38,1.0,85.0,24.0,66.0,11.0,79.0,1.0,89.0,14.0,71.0,10.2,78.0
38,Diagonal Norte,C,4.0,0.11659700452803903,0.052916416115454,0.2593208778535641,35,1.0,85.0,30.0,60.0,13.0,77.0,2.0,88.0,6.0,82.0,10.4,78.4
25,Pueyrredón,B,3.0,0.2402037617554859,0.05432098765432099,0.06745495736793301,36,6.0,71.0,4.0,86.0,6.0,84.0,36.0,54.0,9.0,80.0,12.2,75.0
85,Humberto 1º,H,3.0,0.23380355276907003,0.055345911949685536,0.057231900121917825,37,6.0,71.0,6.0,83.0,5.0,85.0,42.0,48.0,11.0,77.0,14.0,72.8
39,Avenida de Mayo,C,3.0,0.1060170672239638,0.052948255114320095,0.2525998731266645,36,6.0,71.0,40.0,50.0,12.0,78.0,3.0,87.0,9.0,80.0,14.0,73.2
80,Santa Fe,H,3.0,0.18991640543364682,0.054087277197295634,0.04590443614380962,31,6.0,71.0,9.0,81.0,7.0,83.0,48.0,42.0,2.0,87.0,14.4,72.8
84,Venezuela,H,2.0,0.2079414838035528,0.05699481865284974,0.057828136133647026,35,20.0,9.0,8.0,82.0,3.0,87.0,41.0,49.0,6.0,82.0,15.6,61.8
49,Pueyrredón,D,3.0,0.2434691745036573,0.05113306217315514,0.06568325146046476,38,6.0,71.0,3.0,87.0,19.0,71.0,38.0,52.0,14.0,71.0,16.0,70.4
81,Córdoba,H,2.0,0.179858934169279,0.05580215599239061,0.05303291233124186,30,20.0,9.0,11.0,79.0,4.0,86.0,45.0,45.0,1.0,89.0,16.2,61.6
9,Plaza Miserere,A,3.0,0.2383315917798676,0.05356055995130858,0.05715713664657793,39,6.0,71.0,5.0,85.0,10.0,80.0,43.0,47.0,20.0,66.0,16.8,69.8
44,Catedral,D,3.0,0.08760013932427728,0.0535931790499391,0.2070767208314543,37,6.0,71.0,51.0,39.0,9.0,81.0,9.0,81.0,11.0,77.0,17.2,69.8
21,Carlos Pellegrini,B,4.0,0.11603099965168934,0.05045871559633028,0.16731946617709031,40,1.0,85.0,32.0,58.0,25.0,65.0,15.0,75.0,25.0,59.0,19.6,68.4
66,Jujuy,E,3.0,0.23380355276907003,0.05204021289178001,0.06942539319691073,42,6.0,71.0,6.0,83.0,15.0,75.0,34.0,56.0,44.0,42.0,21.0,65.4
46,Tribunales,D,2.0,0.12421630094043888,0.05137186223000584,0.16501837571823497,41,20.0,9.0,26.0,64.0,16.0,73.0,16.0,74.0,32.0,47.0,22.0,53.4
2,Perú,A,4.0,0.08642459073493555,0.050662061024755324,0.2377569306701636,41,1.0,85.0,53.0,37.0,22.0,68.0,5.0,85.0,32.0,47.0,22.6,64.4
