id,estacion,linea,grado,betweenness,closeness,autovector,excentricidad,r_grado,r_betweenness,r_closeness,r_autovector,r_excentricidad,score_central,score_periferico
1,Plaza de Mayo,A,1,0.0,0.046049188906331764,0.11029823290435807,43,82.0,82.0,48.0,23.0,49.0,56.8,34.35
2,Perú,A,4,0.08642459073493555,0.050662061024755324,0.2377569306701636,41,1.0,53.0,22.0,5.0,32.0,22.6,78.15
3,Piedras,A,2,0.06687565308254964,0.049189491335941866,0.20825430974492312,43,20.0,57.0,37.0,8.0,49.0,34.2,50.85
4,Lima,A,3,0.10623476140717523,0.04985835694050991,0.21115189184210295,41,6.0,39.0,32.0,7.0,32.0,23.2,74.9
5,Sáenz Peña,A,2,0.09334726576105885,0.048916064480266815,0.14585981161492045,41,20.0,45.0,41.0,17.0,32.0,31.0,53.4
6,Congreso,A,2,0.09256356670149772,0.04897050639955482,0.10325872651910808,43,20.0,46.0,39.0,26.0,49.0,36.0,48.35
7,Pasco,A,2,0.09622082897944965,0.0497456189937818,0.07671924174370678,43,20.0,44.0,34.0,32.0,49.0,35.8,48.85
8,Alberti,A,2,0.10366597004528039,0.05137186223000584,0.06211044204833151,41,20.0,42.0,16.0,40.0,32.0,30.0,54.4
9,Plaza Miserere,A,3,0.2383315917798676,0.05356055995130858,0.05715713664657793,39,6.0,5.0,10.0,43.0,20.0,16.8,83.95
10,Loria,A,2,0.1671891327063741,0.04929971988795518,0.03861739574114034,41,20.0,12.0,36.0,51.0,32.0,30.2,53.9
11,Castro Barros,A,2,0.14811912225705332,0.04557224236147074,0.026077618298908638,43,20.0,16.0,51.0,57.0,49.0,38.6,44.6
12,Río de Janeiro,A,2,0.12852664576802508,0.0422873618452667,0.01758874911638085,45,20.0,20.0,59.0,62.0,63.0,44.8,38.95
13,Acoyte,A,2,0.10841170323928946,0.039373601789709174,0.011831553565372344,47,20.0,35.0,66.0,68.0,68.0,51.4,31.15
14,Primera Junta,A,2,0.08777429467084641,0.03677392394483912,0.007911473579549601,49,20.0,47.0,71.0,72.0,72.0,56.4,25.1
15,Puan,A,2,0.06661442006269593,0.03444227005870842,0.005219531040137925,51,20.0,58.0,75.0,77.0,76.0,61.2,19.05
16,Carabobo,A,2,0.04493207941483804,0.03234105108416024,0.0033376441898155906,53,20.0,63.0,79.0,81.0,80.0,64.6,15.0
17,San José de Flores,A,2,0.022727272727272728,0.030439294361812523,0.0019736309349583673,55,20.0,72.0,83.0,84.0,84.0,68.6,9.7
18,San Pedrito,A,1,0.0,0.02871125611745514,0.0009157904839828891,57,82.0,82.0,87.0,88.0,87.0,85.2,2.35
19,Leandro N. Alem,B,2,0.030825496342737724,0.04602510460251046,0.08491918719265118,43,20.0,70.0,49.0,29.0,49.0,43.4,39.35
20,Florida,B,2,0.04009926854754441,0.04793028322440087,0.11701748766402688,41,20.0,69.0,43.0,21.0,32.0,37.0,45.9
21,Carlos Pellegrini,B,4,0.11603099965168934,0.05045871559633028,0.16731946617709031,40,1.0,32.0,25.0,15.0,25.0,19.6,82.55
22,Uruguay,B,2,0.10218564959944273,0.0505166475315729,0.11878288662106691,38,20.0,43.0,23.0,20.0,14.0,24.0,62.2
23,Callao,B,2,0.10440613026819927,0.05069124423963134,0.0887216342532127,40,20.0,41.0,21.0,28.0,25.0,27.0,59.05
24,Pasteur,B,2,0.11015325670498087,0.052318668252080855,0.07245670594813614,38,20.0,34.0,14.0,33.0,14.0,23.0,63.7
25,Pueyrredón,B,3,0.2402037617554859,0.05432098765432099,0.06745495736793301,36,6.0,4.0,6.0,36.0,9.0,12.2,89.75
26,Carlos Gardel,B,2,0.1671891327063741,0.049943246311010214,0.045575528786451124,38,20.0,12.0,28.0,49.0,14.0,24.6,60.95
27,Medrano,B,2,0.14811912225705332,0.04612159329140461,0.03077674543441659,40,20.0,16.0,47.0,54.0,25.0,32.4,51.55
28,Ángel Gallardo,B,2,0.12852664576802508,0.042759961127308066,0.020758523835228818,42,20.0,20.0,58.0,60.0,44.0,40.4,42.9
29,Malabia,B,2,0.10841170323928946,0.039783001808318265,0.01396402664817542,44,20.0,35.0,65.0,65.0,58.0,48.6,33.35
30,Dorrego,B,2,0.08777429467084641,0.03713080168776371,0.009337574994401406,46,20.0,47.0,70.0,70.0,65.0,54.4,26.85
31,Federico Lacroze,B,2,0.06661442006269593,0.03475513428120063,0.006160502125146671,48,20.0,58.0,74.0,74.0,69.0,59.0,21.05
32,Tronador,B,2,0.04493207941483804,0.03261675315048184,0.003939418151551838,50,20.0,63.0,78.0,79.0,73.0,62.6,16.75
33,De los Incas,B,2,0.022727272727272728,0.030683403068340307,0.0023295078032484363,52,20.0,72.0,82.0,83.0,77.0,66.8,11.2
34,Juan Manuel de Rosas,B,1,0.0,0.028928336620644313,0.001080932296091031,54,82.0,82.0,86.0,87.0,81.0,83.6,3.65
35,Retiro,C,2,0.002220480668756531,0.041237113402061855,0.055446887864153006,41,20.0,81.0,61.0,44.0,32.0,47.6,32.65
36,General San Martín,C,2,0.022596656217345874,0.04446690247599798,0.1038908269337995,39,20.0,79.0,54.0,25.0,20.0,39.6,43.45
37,Lavalle,C,2,0.04323406478578893,0.04832509610104338,0.1684983244322541,37,20.0,68.0,42.0,14.0,11.0,31.0,54.15
38,Diagonal Norte,C,4,0.11659700452803903,0.052916416115454,0.2593208778535641,35,1.0,30.0,13.0,2.0,6.0,10.4,93.9
39,Avenida de Mayo,C,3,0.1060170672239638,0.052948255114320095,0.2525998731266645,36,6.0,40.0,12.0,3.0,9.0,14.0,87.5
40,Moreno,C,2,0.07001044932079416,0.050808314087759814,0.20071763581228796,38,20.0,55.0,20.0,11.0,14.0,24.0,62.45
