id,estacion,linea,grado,betweenness,closeness,autovector,excentricidad,r_grado,r_grado_periferia,r_betweenness,r_betweenness_periferia,r_closeness,r_closeness_periferia,r_autovector,r_autovector_periferia,r_excentricidad,r_excentricidad_periferia,score_central,score_periferico,lat,long,clave_estacion,nombre_norm,demanda_potencial,radios_cubiertos,pasajeros_diarios_promedio,pasajeros_totales_periodo,dias_observados,educacion,salud,comercio,atraccion_total,betweenness_uniforme,betweenness_demanda,betweenness_atraccion,cambio_demanda_vs_uniforme,cambio_atraccion_vs_demanda
82,Corrientes,H,3.0,0.3195750609543714,0.059219380888290714,0.06839834411524028,31,6.0,71.0,2.0,88.0,2.0,88.0,35.0,55.0,2.0,87.0,9.4,77.8,-34.6044902,-58.40545033,Corrientes (H),corrientes,81224,113,2994.6043956043954,1090036,364,14,6,129,149,0.3123935989104536,0.27509291970541466,0.25746095366692956,-0.037300679205038934,-0.017631966038485103
45,9 de Julio,D,4.0,0.1513409961685824,0.05385556915544676,0.24014623385789294,39,1.0,85.0,15.0,75.0,8.0,82.0,4.0,86.0,20.0,66.0,9.6,78.8,-34.6042452,-58.38057434,9 de Julio (D),9 de julio,33877,65,2382.1635220125786,757528,318,12,11,37,60,0.1479400749063672,0.09892262321166945,0.12256112541497569,-0.04901745169469776,0.02363850220330624
83,Once,H,3.0,0.33472657610588646,0.05953991880920163,0.06740512204835046,33,6.0,71.0,1.0,89.0,1.0,89.0,37.0,53.0,4.0,85.0,9.8,77.4,-34.60893524,-58.40603638,Once (H),once,81061,110,8553.021978021978,3113300,364,12,12,102,126,0.32720463057541793,0.272029314925066,0.22854599488814367,-0.05517531565035194,-0.04348332003692232
60,Bolívar,E,4.0,0.12774294670846395,0.05330102967898243,0.27780301906001065,38,1.0,85.0,24.0,66.0,11.0,79.0,1.0,89.0,14.0,71.0,10.2,78.0,-34.60924243,-58.37368422,Bolívar (E),bolivar,22911,42,5880.6373626373625,2140552,364,26,9,23,58,0.12487231869254349,0.06285700688553812,0.06464658248626326,-0.06201531180700537,0.0017895756007251379
38,Diagonal Norte,C,4.0,0.11659700452803903,0.052916416115454,0.2593208778535641,35,1.0,85.0,30.0,60.0,13.0,77.0,2.0,88.0,6.0,82.0,10.4,78.4,-34.60484374,-58.37952998,Diagonal Norte (C),diagonal norte,30842,59,2977.2747252747254,1083728,364,12,9,37,58,0.11397684712291474,0.06774574346330554,0.08411757111495362,-0.046231103659609196,0.016371827651648074
25,Pueyrredón,B,3.0,0.2402037617554859,0.05432098765432099,0.06745495736793301,36,6.0,71.0,4.0,86.0,6.0,84.0,36.0,54.0,9.0,80.0,12.2,75.0,-34.60458106,-58.40539944,Pueyrredón (B),pueyrredon,80093,111,6294.65228426396,2480093,364,14,8,129,151,0.2348059244126664,0.16737197868635623,0.15416650439918606,-0.06743394572631017,-0.013205474287170171
85,Humberto 1º,H,3.0,0.23380355276907003,0.055345911949685536,0.057231900121917825,37,6.0,71.0,6.0,83.0,5.0,85.0,42.0,48.0,11.0,77.0,14.0,72.8,-34.62309232,-58.40232273,Humberto 1º (H),humberto 1o,65221,81,3579.0164835164837,1302762,364,4,8,20,32,0.22854954034729358,0.1513948156441008,0.11469915277666232,-0.07715472470319279,-0.03669566286743847
39,Avenida de Mayo,C,3.0,0.1060170672239638,0.052948255114320095,0.2525998731266645,36,6.0,71.0,40.0,50.0,12.0,78.0,3.0,87.0,9.0,80.0,14.0,73.2,-34.60898331,-58.38061072,Avenida de Mayo (C),avenida de mayo,38600,67,2625.3763736263736,955637,364,13,9,15,37,0.10363466121893102,0.066180394542025,0.06939126962537959,-0.03745426667690602,0.003210875083354589
80,Santa Fe,H,3.0,0.18991640543364682,0.054087277197295634,0.04590443614380962,31,6.0,71.0,9.0,81.0,7.0,83.0,48.0,42.0,2.0,87.0,14.4,72.8,-34.5945254,-58.40237618,Santa Fe (H),santa fe,114052,137,6802.057692307692,2475949,364,20,35,107,162,0.18564862104187976,0.16200829026710234,0.16199693043285623,-0.023640330774777424,-1.1359834246105205e-05
84,Venezuela,H,2.0,0.2079414838035528,0.05699481865284974,0.057828136133647026,35,20.0,9.0,8.0,82.0,3.0,87.0,41.0,49.0,6.0,82.0,15.6,61.8,-34.61524215,-58.40473171,Venezuela (H),venezuela,76973,101,3938.3516483516482,1433560,364,16,15,19,50,0.203268641470889,0.14678398349733995,0.11433239074017988,-0.05648465797354904,-0.03245159275716007
49,Pueyrredón,D,3.0,0.2434691745036573,0.05113306217315514,0.06568325146046476,38,6.0,71.0,3.0,87.0,19.0,71.0,38.0,52.0,14.0,71.0,16.0,70.4,-34.59442572,-58.40239534,Pueyrredón (D),pueyrredon,114579,138,3596.3382352941176,1222755,340,18,33,106,157,0.23799795709908117,0.18959145915328124,0.2170248311516379,-0.04840649794579993,0.02743337199835666
81,Córdoba,H,2.0,0.179858934169279,0.05580215599239061,0.05303291233124186,30,20.0,9.0,11.0,79.0,4.0,86.0,45.0,45.0,1.0,89.0,16.2,61.6,-34.59845511,-58.4037215,Córdoba (H),cordoba,99144,127,4620.662087912088,1681921,364,20,26,69,115,0.1758171603677224,0.16329420509681697,0.16512251772597225,-0.01252295527090544,0.001828312629155282
9,Plaza Miserere,A,3.0,0.2383315917798676,0.05356055995130858,0.05715713664657793,39,6.0,71.0,5.0,85.0,10.0,80.0,43.0,47.0,20.0,66.0,16.8,69.8,-34.60981725,-58.40670712,Plaza Miserere (A),plaza miserere,77341,105,8719.263736263736,3173812,364,16,12,85,113,0.23297582567245517,0.19794404672909383,0.1600582032603132,-0.03503177894336135,-0.03788584346878063
44,Catedral,D,3.0,0.08760013932427728,0.0535931790499391,0.2070767208314543,37,6.0,71.0,51.0,39.0,9.0,81.0,9.0,81.0,11.0,77.0,17.2,69.8,-34.60780233,-58.3739558,Catedral (D),catedral,22213,42,10582.574603174604,3333511,315,22,11,27,60,0.08563159686755203,0.05162271686505021,0.05926921138716808,-0.03400888000250182,0.0076464945221178665
21,Carlos Pellegrini,B,4.0,0.11603099965168934,0.05045871559633028,0.16731946617709031,40,1.0,85.0,32.0,58.0,25.0,65.0,15.0,75.0,25.0,59.0,19.6,68.4,-34.60363711,-58.38071485,Carlos Pellegrini (B),carlos pellegrini,34559,67,10392.112637362638,3782729,364,11,10,43,64,0.11342356145726956,0.05594578481850066,0.07442544557700888,-0.0574777766387689,0.018479660758508216
66,Jujuy,E,3.0,0.23380355276907003,0.05204021289178001,0.06942539319691073,42,6.0,71.0,6.0,83.0,15.0,75.0,34.0,56.0,44.0,42.0,21.0,65.4,-34.62386571,-58.40293658,Jujuy (E),jujuy,63307,78,1803.85989010989,656605,364,5,8,16,29,0.22854954034729294,0.13676246580942814,0.10293342015423859,-0.0917870745378648,-0.033829045655189544
46,Tribunales,D,2.0,0.12421630094043888,0.05137186223000584,0.16501837571823497,41,20.0,9.0,26.0,64.0,16.0,73.0,16.0,74.0,32.0,47.0,22.0,53.4,-34.60158716,-58.38514235,Tribunales (D),tribunales,56649,96,5601.983766233766,1725411,308,17,7,28,52,0.12142492339121566,0.08675101918423245,0.10991686329556719,-0.034673904206983214,0.023165844111334738
2,Perú,A,4.0,0.08642459073493555,0.050662061024755324,0.2377569306701636,41,1.0,85.0,53.0,37.0,22.0,68.0,5.0,85.0,32.0,47.0,22.6,64.4,-34.60855907,-58.37426773,Perú (A),peru,22445,40,5286.607142857143,1924325,364,24,11,26,61,0.08448246510044269,0.04367154991524092,0.04654859498938989,-0.04081091518520177,0.0028770450741489664
