id,estacion,linea,grado,betweenness,closeness,autovector,excentricidad,r_grado,r_grado_periferia,r_betweenness,r_betweenness_periferia,r_closeness,r_closeness_periferia,r_autovector,r_autovector_periferia,r_excentricidad,r_excentricidad_periferia,score_central,score_periferico,lat,long,clave_estacion,nombre_norm,demanda_potencial,radios_cubiertos,pasajeros_diarios_promedio,pasajeros_totales_periodo,dias_observados,educacion,salud,comercio,atraccion_total,betweenness_uniforme,betweenness_demanda,betweenness_atraccion,cambio_demanda_vs_uniforme,cambio_atraccion_vs_demanda,betweenness_sube,cambio_sube_vs_atraccion
82,Corrientes,H,3.0,0.325374531835206,0.05890138980807412,0.06840535455877898,31,6.0,72.0,2.0,89.0,2.0,89.0,35.0,56.0,2.0,88.0,9.4,78.8,-34.6044902,-58.40545033,Corrientes (H),corrientes,81224,113,2994.6043956043954,1090036,364,14,6,129,149,0.31814398668331234,0.2763737149656038,0.2587771814733053,-0.04177027171770853,-0.017596533492298505,0.17668262416931746,-0.08209455730398785
45,9 de Julio,D,4.0,0.14917432754511406,0.053293413173652694,0.24014351589665808,39,1.0,86.0,16.0,75.0,8.0,83.0,4.0,87.0,18.0,70.0,9.4,80.2,-34.6042452,-58.38057434,9 de Julio (D),9 de julio,33877,65,2382.1635220125786,757528,318,12,11,37,60,0.14585934248855587,0.09814269973497596,0.12149683675517473,-0.04771664275357991,0.02335413702019877,0.15963276747189065,0.03813593071671592
83,Once,H,3.0,0.3357167177391896,0.05913621262458472,0.06740939063025898,33,6.0,72.0,1.0,90.0,1.0,90.0,37.0,54.0,4.0,86.0,9.8,78.4,-34.60893524,-58.40603638,Once (H),once,81061,110,8553.021978021978,3113300,364,12,12,102,126,0.32825634623387445,0.27160709339445144,0.22810372130777043,-0.056649252839423014,-0.04350337208668101,0.14998897672514253,-0.0781147445826279
38,Diagonal Norte,C,4.0,0.11623255022131429,0.052383755150088286,0.2593178268736534,36,1.0,86.0,31.0,60.0,12.0,79.0,2.0,89.0,8.0,82.0,10.8,79.2,-34.60484374,-58.37952998,Diagonal Norte (C),diagonal norte,30842,59,2977.2747252747254,1083728,364,12,9,37,58,0.11364960466084054,0.06744240224659692,0.08362858281477285,-0.046207202414243614,0.01618618056817593,0.13870061835322772,0.05507203553845487
25,Pueyrredón,B,3.0,0.254979570990807,0.05426829268292683,0.06747187464752323,36,6.0,72.0,3.0,88.0,6.0,85.0,36.0,55.0,8.0,82.0,11.8,76.4,-34.60458106,-58.40539944,Pueyrredón (B),pueyrredon,80093,111,6294.65228426396,2480093,364,14,8,129,151,0.24931335830212253,0.17140549297321236,0.15876182814332435,-0.07790786532891017,-0.012643664829888018,0.23633271393026997,0.07757088578694563
60,Bolívar,E,4.0,0.12525536261491318,0.05263157894736842,0.2777984503619328,40,1.0,86.0,25.0,66.0,11.0,80.0,1.0,90.0,22.0,62.0,12.0,76.8,-34.60924243,-58.37368422,Bolívar (E),bolivar,22911,42,5880.6373626373625,2140552,364,26,9,23,58,0.12247191011235947,0.0623159772457557,0.06402715666522162,-0.06015593286660377,0.0017111794194659136,0.0605487491207626,-0.0034784075444590154
85,Humberto 1º,H,3.0,0.2327630234933606,0.054904380012338064,0.05723286730571388,37,6.0,72.0,6.0,85.0,5.0,86.0,42.0,49.0,10.0,81.0,13.8,74.6,-34.62309232,-58.40232273,Humberto 1º (H),humberto 1o,65221,81,3579.0164835164837,1302762,364,4,8,20,32,0.22759051186017482,0.15075747942109674,0.11417801171079538,-0.07683303243907808,-0.036579467710301364,0.10298573273282731,-0.011192278977968068
80,Santa Fe,H,3.0,0.18935137895812054,0.05374396135265701,0.045907053626862517,31,6.0,72.0,9.0,82.0,7.0,84.0,48.0,43.0,2.0,88.0,14.4,73.8,-34.5945254,-58.40237618,Santa Fe (H),santa fe,114052,137,6802.057692307692,2475949,364,20,35,107,162,0.1851435705368289,0.16154330145808893,0.1615439495366182,-0.023600269078739966,6.480785292584113e-07,0.09983097645218524,-0.06171297308443295
39,Avenida de Mayo,C,3.0,0.10486891385767791,0.05235294117647059,0.2525963488941278,38,6.0,72.0,42.0,49.0,13.0,78.0,3.0,88.0,11.0,74.0,15.0,72.2,-34.60898331,-58.38061072,Avenida de Mayo (C),avenida de mayo,38600,67,2625.3763736263736,955637,364,13,9,15,37,0.10253849354972938,0.06574738608537031,0.06885031438562642,-0.03679110746435907,0.0031029283002561026,0.1420674414454138,0.07321712705978739
49,Pueyrredón,D,3.0,0.24093462717058223,0.050654524758110414,0.06568319799606055,38,6.0,72.0,4.0,87.0,18.0,72.0,38.0,53.0,11.0,74.0,15.4,71.6,-34.59442572,-58.40239534,Pueyrredón (D),pueyrredon,114579,138,3596.3382352941176,1222755,340,18,33,106,157,0.2355805243445696,0.18850897054150503,0.21562248096244943,-0.047071553803064575,0.027113510420944398,0.23330288809801278,0.017680407135563347
