estacion,linea,grado,betweenness,closeness,autovector,excentricidad,score_central,score_periferico
Congreso de Tucumán,D,1.0,0.0,0.026670662271501347,0.0007097864970365803,58,87.0,1.0
Juan Manuel de Rosas,B,1.0,0.0,0.027639751552795033,0.0007310109862807386,56,85.8,2.0
San Pedrito,A,1.0,0.0,0.028562259306803596,0.0009157496763281733,57,85.8,2.4
Plaza de los Virreyes,E,1.0,0.0,0.029440952695997353,0.001644771057694755,58,85.0,3.0
Juramento,D,2.0,0.02247191011235955,0.028155646947168617,0.001529865666071341,56,70.6,6.4
Echeverria,B,2.0,0.02247191011235955,0.02923784494086728,0.001575347337460276,54,69.2,7.8
San José de Flores,A,2.0,0.02247191011235955,0.030272108843537416,0.0019735503710544542,55,68.8,8.6
Varela,E,2.0,0.02247191011235955,0.03126097646645592,0.0035449303113319437,56,67.8,9.2
José Hernández,D,2.0,0.04443309499489275,0.02977584476413516,0.0025876804316144193,54,66.4,11.0
De los Incas,B,2.0,0.04443309499489275,0.030988857938718663,0.0026639400867887724,52,65.0,12.4
