origen,linea_origen,destino,linea_destino,viajes_estimados,probabilidad
Retiro,C,Constitución,C,10101,0.01060439041290038
Constitución,C,Retiro,C,5561,0.0058381363316640945
Constitución,C,Retiro,E,5549,0.00582553830325554
Congreso de Tucumán,D,Catedral,D,3377,0.0035452951613072553
Lavalle,C,Constitución,C,3373,0.003541095818504404
Catedral,D,Congreso de Tucumán,D,3112,0.0032670887006183533
Florida,B,Federico Lacroze,B,2614,0.0027442705216633597
Leandro N. Alem,B,Federico Lacroze,B,2605,0.002734822000356944
Plaza de Mayo,A,Once,H,2427,0.002547951245630059
Constitución,C,Lavalle,C,2415,0.002535353217221505
Agüero,D,Catedral,D,2398,0.0025175060103093867
Leandro N. Alem,B,Juan Manuel de Rosas,B,2337,0.0024534660325659036
Facultad de Medicina,D,Constitución,C,2304,0.00241882145444238
Catedral,D,Juramento,D,2239,0.0023505821338960452
San Pedrito,A,Plaza de Mayo,A,2213,0.0023232864056775115
Callao,B,Federico Lacroze,B,2105,0.002209904150000525
Uruguay,B,Federico Lacroze,B,2048,0.002150063515059893
San Pedrito,A,Catedral,D,2048,0.002150063515059893
Florida,B,Juan Manuel de Rosas,B,2041,0.0021427146651549034
Constitución,C,General San Martín,C,2014,0.0021143691012356566
Agüero,D,Constitución,C,2013,0.0021133192655349436
Juan Manuel de Rosas,B,Florida,B,1985,0.0020839238659149844
Federico Lacroze,B,Florida,B,1941,0.0020377310950836195
Constitución,C,Facultad de Medicina,D,1917,0.0020125350382665112
Congreso de Tucumán,D,Callao,D,1908,0.0020030865169600957
